"genus","species","family","habitat","repo","W","Traup","D","Delta","Gamma","expansion","T.centerline","tan.lead","tan.beta","sin.beta","cot.spiral"
"Pleuroploca","glabra","Fasciolariidae","M","UMUT",1.501,3.01,-0.227,0.128,-0.425,0.0646378441500447,6.02,0.388309478931184,0.166112956810631,0.16386750127671,0.394451881223817
"Amoria","undulata","Fasciolariidae","M","SPMN",2.04,2.333,-0.25,0.146,-0.083,0.113469486096719,4.666,0.526072774871594,0.214316330904415,0.20955771115775,0.541471299098615
"Cymbium","olla","Fasciolariidae","M","SPMN",3.37,1.497,0.058,0.192,-0.422,0.193359368690914,2.994,0.568390012142295,0.334001336005344,0.31679794519173,0.610355501434487
"Ericusa","sericatum","Fasciolariidae","M","SPMN",1.547,4.034,-0.213,0.097,-0.098,0.0694420982765483,8.068,0.558912873356334,0.123946455131383,0.123005208858358,0.56454599704401
"Fulgoraria","clara","Fasciolariidae","M","SUM",1.95,3.049,0.077,0.025,-0.039,0.106288345787375,6.098,0.644515940390313,0.163988192850115,0.161826696190282,0.65680353297454
"Lyria","planicostata","Fasciolariidae","M","SPMN",1.448,4.14,-0.164,0.084,0.175,0.0589165010843351,8.28,0.486984162625305,0.120772946859903,0.119901663408274,0.491373509003958
"Scaphella","dubia","Fasciolariidae","M","SPMN",1.781,3.712,-0.005,-0.005,-0.267,0.0918602549646285,7.424,0.679111277470698,0.134698275862069,0.133492698895521,0.688129431232218
"Voluta","ebraea","Fasciolariidae","M","SPMN",1.654,2.295,-0.238,0.083,-0.046,0.0800862256961471,4.59,0.366422572913233,0.217864923747277,0.212871503892155,0.376218630637948
"Volutocorbis","abyssicola","Fasciolariidae","M","SPMN",1.802,2.526,-0.098,0.101,-0.065,0.0937258938572499,5.052,0.471437063774097,0.197941409342835,0.194174010530267,0.482690209679942
"Alcospira","marginata","Olividae","M","UMUT",1.713,2.557,-0.063,0.154,-0.31,0.0856645464088011,5.114,0.436489846141521,0.195541650371529,0.191907135141329,0.446385416288528
"Amalda","rubiginosa rubiginosa","Olividae","M","SPMN",1.686,2.962,0.055,0.087,-0.011,0.0831359945699487,5.924,0.490804432087477,0.168804861580013,0.166450015764478,0.4994652249693
"Oliva","porphyria","Olividae","M","SPMN",1.916,0.674,-0.192,-0.016,0.056,0.103488859194661,1.348,0.138761895098826,0.741839762611276,0.595797339903512,0.173698088701471
"Oliva","textilina","Olividae","M","SPMN",1.753,0.837,-0.275,0.007,0.09,0.08933822233409,1.674,0.148958921331742,0.597371565113501,0.512835618260398,0.17420440225493
"Olivella","biplicata","Olividae","M","UMUT",1.952,1.925,-0.074,0.05,-0.144,0.106451497972951,3.85,0.40753569076175,0.25974025974026,0.251398364394992,0.423437512129936
"Morum","grande","Harpidae","M","SPMN",2.287,1.467,-0.038,0.141,-0.883,0.131659480756581,2.934,0.382983815201924,0.340831629175187,0.322608240927824,0.408109477854401
"Harpa","major","Harpidae","M","SPMN",2.686,0.874,0.02,0.157,-0.735,0.157253534600043,1.748,0.271542242189543,0.5720823798627,0.496566689430957,0.316681601780917
"Cancilla","isabella","Mitridae","M","SPMN",1.383,4.816,-0.138,0.146,-0.025,0.0516067944569621,9.632,0.496416040957814,0.103820598006645,0.103265554589599,0.499748388144134
"Mitra","eremitarum","Mitridae","M","SPMN",1.509,3.666,-0.103,0.154,-0.156,0.0654838524841158,7.332,0.479101479383711,0.136388434260775,0.13513732656901,0.484572650256444
"Mitra","mitra","Mitridae","M","UMUT",1.526,3.769,-0.495,0.145,0.274,0.0672668260124872,7.538,0.505914039853971,0.132661183337755,0.131509017553135,0.511499722711475
