genus,species,family,repo,habitat,W,Traup,D,Delta,Gamma,OneOverLambda,E
Chicoreus,torrefactus,Muricidae,SPMN,M,1.542,2.239,0.111,0.220,-0.581,0.157,0.809
Concholepas,concholepas,Muricidae,UMUT,M,9.393,0.591,-0.136.,-0.061,-0.767,0.245,0.796
Coralliophila,neritoides,Muricidae,UMUT,M,3.033,1.146,-0.047,0.537,-0.482,0.156,0.808
Cronia,margariticola,Muricidae,UMUT,M,1.552,2.128,0.280,0.253,-0.863,0.149,0.809
Drupa,ricinus ricinus,Muricidae,SPMN,M,1.895,1.415,-0.091,0.456,-1.357,0.171,0.758
Haustellum,haustellum,Muricidae,SPMN,M,2.318,1.169,0.170,-0.270,-0.331,0.128,0.810
Homalocantha,scorpio,Muricidae,SPMN,M,2.131,2.297,0.090,-0.026,-0.721,0.143,0.808
Mancinella,echinata,Muricidae,SPMN,M,1.805,1.740,0.001,0.431,-0.631,0.198,0.808
Morula,granulata,Muricidae,UMUT,M,1.930,1.543,-0.087,0.490,-0.990,0.193,0.784
Murex,pecten pecten,Muricidae,SPMN,M,1.838,1.944,0.379,0.211,-0.738,0.112,0.810
Nassa,francolina,Muricidae,UMUT,M,2.295,2.222,-0.115,0.139,-0.218,0.163,0.806
Neothais,orbita,Muricidae,SPMN,M,2.347,1.580,-0.139,0.350,-0.331,0.209,0.805
Ocenebra,interfossa,Muricidae,UMUT,M,1.722,2.791,-0.334,0.256,-0.799,0.173,0.733
Phyllonotus,erthrostomus,Muricidae,SPMN,M,1.801,1.255,-0.032,0.293,-0.879,0.191,0.802
Pterynotus,elongatus,Muricidae,SPMN,M,1.294,5.876,0.269,0.085,-1.055,0.096,0.806
Rapa,bubiformis,Muricidae,UMUT,M,2.129,1.003,-0.128,0.050,-0.098,0.151,0.805
Rapa,rapa,Muricidae,SPMN,M,2.158,0.912,-0.069,0.065,-0.671,0.177,0.804
Rapana,venosa,Muricidae,SUM,M,2.238,1.488,-0.200,0.296,-0.248,0.192,0.805
Siratus,alabaster,Muricidae,SPMN,M,1.714,2.497,0.017,0.227,-0.470,0.160,0.809
Tais,armigera,Muricidae,SPMN,M,1.716,1.684,-0.088,0.327,-0.293,0.174,0.818
Thais,bronni,Muricidae,UMUT,M,1.907,1.551,-0.065,0.374,-0.601,0.200,0.807
Thais,clavigera,Muricidae,SUM,M,1.962,1.651,-0.150,0.286,-0.704,0.200,0.796
Thais,haemastoma,Muricidae,SPMN,M,2.050,1.801,0.149,0.254,-0.623,0.173,0.809
Thais,kiosquiformis,Muricidae,UMUT,M,1.732,1.846,-0.004,0.450,-0.865,0.180,0.799
Trophon,geversianus,Muricidae,UMUT,M,2.261,1.417,-0.036,0.174,-0.477,0.181,0.808
Urosalpinx,cinerea,Muricidae,UMUT,M,1.777,2.250,-0.016,0.288,-0.546,0.175,0.808
Vexilla,vexillum,Muricidae,UMUT,M,2.083,1.705,-0.102,0.103,0.226,0.143,0.803
Columbarium,harrisium,Turbinellidae,SPMN,M,1.419,2.529,0.363,0.215,-0.682,0.134,0.810
Columbarium,pagoda pagoda,Turbinellidae,UMUT,M,1.475,2.296,0.122,0.201,-0.395,0.151,0.810
Vasum,ceramicum,Turbinellidae,UMUT,M,1.522,1.961,-0.206,0.397,0.110,0.151,0.791
Vasum,turbinellum,Turbinellidae,UMUT,M,1.753,1.477,-0.127,0.362,-0.932,0.200,0.789
Amphissa,columbiana,Columbellidae,UMUT,M,1.554,2.581,-0.158,0.296,-0.447,0.172,0.809
Colubraria,cumingii,Columbellidae,SPMN,M,1.301,3.536,-0.083,0.137,-1.138,0.154,0.781
Parametaria,philippinarum,Columbellidae,UMUT,M,1.600,1.802,-0.317,0.075,-0.190,0.150,0.761
Pyrene,splendidula,Columbellidae,UMUT,M,1.374,2.591,-0.087,-0.138,-0.252,0.151,0.815
Strombina,lanceolata,Columbellidae,UMUT,M,1.448,3.092,0.097,0.195,-0.759,0.147,0.808
Bullia,gradata,Nassariidae,SPMN,M,1.640,2.687,-0.196,0.177,-0.114,0.152,0.795
Nassarius,arcularia,Nassariidae,UMUT,M,1.739,1.592,-0.230,0.308,-1.457,0.158,0.711
Zeuxis,margritifera,Nassariidae,UMUT,M,1.438,3.070,0.069,0.279,-0.817,0.154,0.805
Balylonia,japonica,Buccinidae,UMUT,M,1.836,2.094,0.083,0.431,0.020,0.158,0.809
Balylonia,japonica,Buccinidae,UMUT,M,1.849,2.099,0.086,0.545,-0.478,0.161,0.809
Balylonia,japonica,Buccinidae,UMUT,M,1.827,2.089,0.158,0.567,-0.246,0.179,0.810
Buccinum,osagawai,Buccinidae,SPMN,M,1.690,2.534,-0.048,0.359,-0.428,0.175,0.808
Cominella,lineolata,Buccinidae,UMUT,M,1.622,2.345,-0.253,0.397,-0.288,0.174,0.793
Fusinus,dupetitthouarsi,Buccinidae,SPMN,M,1.380,3.878,-0.446,0.097,0.602,0.135,0.733
Japelion,pericochlion,Buccinidae,SUM,M,1.484,3.981,-0.100,0.262,0.317,0.131,0.805
Kelletia,lischkei,Buccinidae,UMUT,M,1.609,2.196,-0.359,0.308,-0.119,0.155,0.759
Neptunea,antiqua,Buccinidae,UMUT,M,1.710,2.010,-0.154,0.287,-0.076,0.162,0.812
Neptunea,constricta,Buccinidae,SUM,M,1.622,2.488,-0.102,0.189,-0.787,0.170,0.792
Neptunea,lyrata decemcostata,Buccinidae,UMUT,M,2.069,1.658,-0.018,0.216,-0.449,0.195,0.809
Northia,northiae,Buccinidae,SPMN,M,1.489,3.298,-0.401,0.199,-0.491,0.146,0.717
Penion,maxima,Buccinidae,SPMN,M,1.606,2.004,-0.177,0.209,-0.647,0.174,0.799
Pleuroploca,princeps,Buccinidae,SPMN,M,1.592,2.571,-0.070,0.168,-0.241,0.157,0.808
Siphonalia,fusoides,Buccinidae,SPMN,M,1.709,2.350,0.165,0.189,-0.719,0.152,0.809
Solenosteria,fusiformis,Buccinidae,UMUT,M,1.614,2.015,-0.035,0.419,-0.109,0.169,0.820
Volutharpa,ampullacea perryi,Buccinidae,UMUT,M,2.482,1.404,-0.290,0.348,-0.923,0.205,0.769
Busycom,spiratum,Melongenidae,SPMN,M,2.254,0.969,-0.025,0.072,-0.286,0.160,0.817
Hemifusus,tuba,Melongenidae,UMUT,M,1.739,2.076,-0.171,0.187,-0.262,0.166,0.809
Melongena,melongena,Melongenidae,SPMN,M,1.860,1.682,-0.030,0.125,-0.079,0.154,0.812
Melongena,patula,Melongenidae,UMUT,M,2.316,1.033,-0.250,0.207,-0.133,0.164,0.785
Pugilina,cochlidium,Melongenidae,SPMN,M,1.835,1.324,-0.020,0.127,0.045,0.149,0.820
Fasciolaria,tulipa,Fasciolariidae,SPMN,M,1.870,2.242,-0.133,0.064,-0.164,0.155,0.802
Fusinus,forceps,Fasciolariidae,UMUT,M,1.392,3.338,0.151,0.196,-0.525,0.140,0.810
Fusinus,nicobaricus,Fasciolariidae,UMUT,M,1.422,2.935,0.090,0.300,-0.575,0.165,0.809
Fusinus,nicobaricus,Fasciolariidae,SPMN,M,1.398,3.198,-0.117,0.137,-0.376,0.158,0.814
Latirus,nodatus,Fasciolariidae,UMUT,M,1.473,2.789,-0.134,0.104,-0.359,0.156,0.812
Opeatostoma,pseudodon,Fasciolariidae,UMUT,M,1.735,1.896,-0.143,0.184,-0.550,0.174,0.805
Peristernia,incarnata,Fasciolariidae,UMUT,M,1.335,3.297,-0.465,0.503,-0.709,0.144,0.611
Pleuroploca,glabra,Fasciolariidae,UMUT,M,1.501,3.010,-0.227,0.128,-0.425,0.154,0.789
Amoria,undulata,Fasciolariidae,SPMN,M,2.040,2.333,-0.250,0.146,-0.083,0.154,0.786
Cymbium,olla,Fasciolariidae,SPMN,M,3.370,1.497,0.058,0.192,-0.422,0.200,0.809
Ericusa,sericatum,Fasciolariidae,SPMN,M,1.547,4.034,-0.213,0.097,-0.098,0.132,0.792
Fulgoraria,clara,Fasciolariidae,SUM,M,1.950,3.049,0.077,0.025,-0.039,0.122,0.809
Lyria,planicostata,Fasciolariidae,SPMN,M,1.448,4.140,-0.164,0.084,0.175,0.129,0.797
Scaphella,dubia,Fasciolariidae,SPMN,M,1.781,3.712,-0.005,-0.005,-0.267,0.123,0.808
Voluta,ebraea,Fasciolariidae,SPMN,M,1.654,2.295,-0.238,0.083,-0.046,0.146,0.788
Volutocorbis,abyssicola,Fasciolariidae,SPMN,M,1.802,2.526,-0.098,0.101,-0.065,0.147,0.807
Alcospira,marginata,Olividae,UMUT,M,1.713,2.557,-0.063,0.154,-0.310,0.156,0.808
Amalda,rubiginosa rubiginosa,Olividae,SPMN,M,1.686,2.962,0.055,0.087,-0.011,0.133,0.809
Oliva,porphyria,Olividae,SPMN,M,1.916,0.674,-0.192,-0.016,0.056,0.142,0.775
Oliva,textilina,Olividae,SPMN,M,1.753,0.837,-0.275,0.007,0.090,0.151,0.757
Olivella,biplicata,Olividae,UMUT,M,1.952,1.925,-0.074,0.050,-0.144,0.168,0.807
Morum,grande,Harpidae,SPMN,M,2.287,1.467,-0.038,0.141,-0.883,0.197,0.796
Harpa,major,Harpidae,SPMN,M,2.686,0.874,0.020,0.157,-0.735,0.208,0.807
Cancilla,isabella,Mitridae,SPMN,M,1.383,4.816,-0.138,0.146,-0.025,0.134,0.804
Mitra,eremitarum,Mitridae,SPMN,M,1.509,3.666,-0.103,0.154,-0.156,0.143,0.806
Mitra,mitra,Mitridae,UMUT,M,1.526,3.769,-0.495,0.145,0.274,0.131,0.722
Mitra,swainsoni,Mitridae,SPMN,M,1.321,5.959,-0.209,0.028,0.023,0.117,0.789
